yr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.02,0.46,0.32,0.19,0.18,2.12,1.06,0.42,0.38,2.04,0,0.13
2,0.02,0.31,0.26,0.18,0,0.31,0,0,0,0.55,0,0
3,0.21,0,0.24,0.48,0.21,0.43,3.75,0.87,0,0,0.98,0.56
4,0.21,0.12,0.11,0.26,0.17,2.19,1.55,0.14,0,2.67,0,0.06
5,0.24,0.43,0.46,0.57,0.56,0.28,1.72,0,0.45,1.37,0.37,0.31
6,0.78,0.62,0.43,0.47,0.48,0.6,0,1.45,0.43,0.23,0.06,0
7,0.23,0.54,0.27,0.17,0.27,1.3,5.48,1.66,1.4,0.02,0.41,0.34
8,0,0,0,0.04,0,0,8.27,2.77,2.04,1.14,0.36,0.29
9,0.19,0.4,0.31,0.62,0.4,2.59,9.45,3.24,2.82,0.3,0,0
10,0.28,0.34,0.32,0.91,0.31,1.22,0,0,0,0.36,0.75,0.38
11,0.02,0.21,0.43,0.72,0.64,0,2.27,0.24,2.57,0.2,0.39,0.39
12,0.25,0.58,0.56,0.1,0.62,0,0.81,0,0,0.16,0,0
13,0.21,0.07,0.63,0.48,0.57,0.68,1.86,1.06,1.99,0.2,0.67,0.34
14,0.25,0.66,0.51,0,0,2.81,4.18,0.89,0,4.88,0.23,0.14
15,0.06,0.38,0.41,1.11,1.18,1.38,0,0,0,0.43,0.3,0.18
16,0.24,0.25,0.58,0.29,1.02,1.64,4.07,1.25,1.32,0.41,0.15,0.02
17,0.12,0.14,0.19,0.56,0.62,3.54,5.14,1.36,3.79,0.76,1.44,1.14
18,0.21,0.24,0.54,0.38,0.04,2.33,9.32,3.2,3.55,1.02,0.5,0.27
19,0.38,0.35,0.35,0.1,1.54,1.63,1.54,5.38,3.1,0.13,0,0
20,0.25,0.29,0.2,0.22,0.19,1.47,5.01,1.32,3.17,0.41,0.75,0.41
21,0.07,0.46,0.25,0.23,0.66,3.51,1.35,2.48,2.49,0.68,0.33,0.32
22,0.09,0.43,0.29,0.06,0.03,0.51,2.1,0.17,0.65,1.37,0.01,0
23,0.28,0.35,0.45,0.19,2.47,2.08,7.21,3.23,3.77,0.54,0.29,0.53
24,0.13,0.04,0.1,0.34,0.28,0,4.12,1.42,3.32,0.05,0,0
25,0.21,0.38,0.17,0.54,0.13,1.86,2.65,0.4,0.23,0.78,0.34,0.25
26,0.21,0.03,0.1,0.07,1.08,1.3,5.29,1.51,0.17,0.97,0.09,0.07
27,0.21,0.25,0.14,0.1,0.32,3.05,3.86,1.46,3.46,0.65,1.06,0.74
28,0.41,0.56,0.63,0.87,0.52,1.93,1.64,0,0.09,0.28,0.11,0.23
29,0.45,0.29,0.63,0.65,0.64,1.45,15.25,5.7,3.42,0.14,0,0
30,0.13,0,1.07,0.08,1.48,3.31,1.71,0,0,0,0.02,0
31,0.48,0.74,0.65,0.11,1.16,0,0,2.1,3.49,0.11,0,0
32,0.15,0.15,0.16,0.28,0,1.44,5.16,0.85,1.05,0.15,0.54,0.26
33,0.47,0.39,0.23,0.28,0.29,0.11,0,0,1.45,0.53,0.34,0.14
34,0.22,0.42,0.66,0.09,0,5.3,5.05,1.4,1,0.08,1.4,1.02
35,0.04,0.06,0.29,0.76,1.79,1.36,0,0,0.51,1.4,0.09,0
36,0.06,0.16,0.09,0.19,0,1.46,0,0,0.36,0,0.06,0
37,0,0.13,0.48,0.58,1.13,0,2.47,0.28,0,0.37,0.73,0.69
38,0.3,0.03,0.07,0.21,0.78,4.27,0,0,0,2.15,0.39,0.19
39,0.01,0.52,0.36,0.19,0,1.13,4.91,1.96,1.43,0.42,0.78,0.54
40,0.63,0.77,0.82,0.03,0.2,0.01,1.1,0,0,0.5,0.32,0.11
41,0.21,0.07,0.31,0.32,1.16,2.01,13.64,4.92,3.55,0.4,0,0.09
42,0.01,0.03,0,0.16,0.03,3.7,14.31,5.36,3.85,0.28,0.39,0.33
43,0.37,0.38,0.17,0.67,1.85,1.55,0.82,0,0,0.43,0.14,0.14
44,0.01,0.46,0.35,0.06,0.8,0.9,1.23,0,0,4.42,0.5,0.24
45,0.41,0.11,0.26,0.01,0.73,2.23,0.67,3.07,2.4,0.12,0.71,0.38
46,0.12,0.36,0.39,0.25,0,2.47,0,2.95,1.19,1.91,0.79,0.53
47,0.08,0,0.16,0.73,0.66,2.05,0,0,0,0.01,0.39,0.47
48,0.06,0.08,0.28,0.14,0.26,0.33,5.94,3.36,3.24,1.41,0.85,0.47
49,0.13,0.65,0.59,0,0,2.74,3.46,0.89,1.24,0.61,0.55,0.34
50,0.02,0.23,0.18,0.28,0.16,2.34,0,0.67,0.64,0,0.29,0.14
51,0.06,0.1,0.03,0.79,0.31,3.03,4.48,1.07,2.57,0.13,0.32,0.37
52,0,0,0,0.37,0.93,5.03,3.8,0,0,2.03,0.37,0.21
53,0.26,0,0.29,0.64,0.49,2.42,3.83,2.02,1.19,0.96,0.24,0.17
54,0.04,0,0.06,0.31,0.1,0.7,0.75,0,0,2.91,0.57,0.65
55,0.34,0.66,0.47,0.28,1.01,0.76,2.84,0.49,0,0,0.71,0.88
56,0.16,0.04,0.11,0.79,0.34,0.04,0,0,0,0.05,0.16,0
57,0,0.11,0.2,0.67,0.63,2.33,2.11,0.17,0.69,0.32,0,0.58
58,0.44,0.06,0.03,0.85,0.82,4.19,2.1,0.16,1.45,1.26,0.64,0.33
59,0.21,0.44,0.2,0.28,0.42,4.43,1.05,0,0,0.37,0.28,0.1
60,0.16,0.23,0.23,0.44,0.28,2.52,1.95,0.18,0,0.41,0,0
61,0.04,0.1,0.08,0.34,0.17,3.21,0,0,0.33,0.12,0.12,0.48
62,0.22,0.23,0.28,0.22,0,0.47,3.65,0.82,0.01,0.24,0.3,0.2
63,1.37,1.22,1.13,0.52,0.42,2.12,15.7,6.2,4.07,0.89,0.22,0.09
64,0.93,0.85,0.6,0,0,3.54,1.57,0.18,0,0.31,0.92,0.51
65,0.28,0.52,0.34,0.57,0.12,1.35,5.92,1.81,1.95,0.13,0.88,0.51
66,0.24,0,0.79,0.53,0.49,2.92,4.17,2.64,5.93,0.83,0.15,0.05
67,0,0.22,0.23,0.41,0.04,4.69,4.52,1.21,0,2.57,0.98,0.57
68,0.3,0.25,0.09,0.5,0.01,0,4.68,5.57,5.34,1.27,0.24,0.06
69,0.11,0.48,0.3,1.2,1.13,2.65,0,0,0,0.1,0,0
70,0.19,0.23,0.28,0.16,0,0.57,0,0,0.53,0.78,0.5,1.09
71,0.21,0.19,0.35,0.3,0.44,2.94,5.18,5.97,4.97,2.1,0.13,0.09
72,0.07,0.2,0.1,0.71,0.83,4.85,6.34,1.89,3.89,0.08,0.28,0.08
73,0.47,0.24,0.23,0.26,1.02,0.59,0.72,0.1,0,0.05,0.43,1.45
74,0.01,0,0.28,0.28,0.59,4.77,0,0.66,0.29,1.28,0.57,0.4
75,0.02,0.13,0.09,0.34,0.58,5.42,1.33,0,0.74,0.77,1.33,0.83
76,0.04,0.03,0.24,0.56,0.13,2.9,0,0,0.04,0.67,0,0
77,0.25,0.1,0.05,0.24,0.34,3.07,0.6,0,0,0.11,0.4,0.22
78,0.07,0.17,0.05,0.11,0.14,0.08,0.81,0,0.76,0,0.39,0.24
79,0.05,0.83,0.42,0.52,0.28,3.04,1.3,0,0.27,0.04,0,0
80,0.38,0.48,0.47,0.24,0.43,3.67,3.24,0.66,0,1.72,0.38,0.16
81,0.19,0.58,1.07,0.14,0.2,1.26,4.45,0.53,2.18,0.39,0,0
82,0.03,0.1,0.14,0.34,0.57,2,1.67,0,0,7.74,0.82,0.54
83,0.04,0.44,0.21,0.38,0.36,2.19,0,0,0.01,0,0,0
84,0.18,0.35,1.37,0.51,1.38,2.24,1.34,0,0,0.08,0.15,0.2
85,0.21,0.37,0.2,0.23,0.43,0.91,2.74,1.26,0.66,0.31,0.35,0.53
86,0,0,0.65,0.71,1.7,2.71,0.46,0,1.59,0.29,0.24,0.06
87,0,0.52,0.33,0.83,0.64,0,2.38,0.33,0,0.13,0.08,0
88,0.25,0.27,0.13,0.28,0.28,0.3,0,0,0,0.41,0.76,0.55
89,0.19,0.45,0.35,0.19,0.32,3.54,3.67,0.83,1.27,0.89,0.29,0.17
90,0,0,0,0.14,0.08,3.4,0,0,0,0.19,1.41,1.01
91,0.1,0.14,0.22,0.39,0.18,0,0,0,0,2.08,0.07,0.31
92,0.36,0.41,0.46,0.71,0.72,5.19,0.78,0,1,0.64,0.02,0.34
93,0.02,0.29,0.29,0.33,0.96,3.51,6.21,2.08,2.83,0.61,0.62,0.44
94,0.45,0.5,0.4,0.2,0.62,6.6,7.22,2.36,2.49,0.08,0.11,0.95
95,0.04,0.14,0.15,0.19,0,2.21,0,0,0,0,0.54,0.28
96,0.12,0.3,0.34,0.24,0,1.78,0,0.67,0.23,0.36,0.43,0.3
97,0.09,0,0.12,0.26,0.16,1.1,3.31,0.71,0,0.12,0.29,0.84
98,0.12,0.26,0.8,0.23,0.11,1.93,0,0,0,0,0.16,0.04
99,0.03,0.35,0.44,0.91,0.54,2.79,4.06,0.86,0.36,0,0.16,0.45
100,0.34,0.33,0.33,0.05,0.39,3.79,0.39,0,0,1.15,0,0
